Core, 0
Cumulative Cycles, 8457753             
Cumulative Instructions, 20022806            
Cumulative IPC, 2.36739
Periodic Cycles, 3761408             
Periodic Instructions, 10012638            
Periodic IPC, 2.66194

BTB_ON_PATH_MISS_count,        147054
BTB_ON_PATH_MISS_pct,        6.850
BTB_ON_PATH_MISS_total_count,        304550
BTB_ON_PATH_MISS_total_pct,        7.098

BTB_ON_PATH_HIT_count,       1999822
BTB_ON_PATH_HIT_pct,       93.150
BTB_ON_PATH_HIT_total_count,       3985861
BTB_ON_PATH_HIT_total_pct,       92.902
BTB_ON_PATH_HIT_sum_count,       2146876
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,       4290411
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         0.93
BTB_ON_PATH_HIT_stddev,         0.90
BTB_ON_PATH_HIT_total_mean,         0.93
BTB_ON_PATH_HIT_total_stddev,         0.90

BTB_OFF_PATH_MISS_count,        176466
BTB_OFF_PATH_MISS_pct,       15.041
BTB_OFF_PATH_MISS_total_count,        390688
BTB_OFF_PATH_MISS_total_pct,       15.433

BTB_OFF_PATH_HIT_count,        996771
BTB_OFF_PATH_HIT_pct,       84.959
BTB_OFF_PATH_HIT_total_count,       2140872
BTB_OFF_PATH_HIT_total_pct,       84.567
BTB_OFF_PATH_HIT_sum_count,       1173237
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,       2531560
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.85
BTB_OFF_PATH_HIT_stddev,         0.80
BTB_OFF_PATH_HIT_total_mean,         0.85
BTB_OFF_PATH_HIT_total_stddev,         0.79

BTB_ON_PATH_WRITE_count,         24177
BTB_ON_PATH_WRITE_pct,       99.269
BTB_ON_PATH_WRITE_total_count,         47260
BTB_ON_PATH_WRITE_total_pct,       99.061

BTB_OFF_PATH_WRITE_count,           178
BTB_OFF_PATH_WRITE_pct,        0.731
BTB_OFF_PATH_WRITE_total_count,           448
BTB_OFF_PATH_WRITE_total_pct,        0.939
BTB_OFF_PATH_WRITE_sum_count,         24355
BTB_OFF_PATH_WRITE_sum_pct,      100.000
BTB_OFF_PATH_WRITE_sum_total_count,         47708
BTB_OFF_PATH_WRITE_sum_total_pct,      100.000
BTB_OFF_PATH_WRITE_mean,         0.01
BTB_OFF_PATH_WRITE_stddev,         0.08
BTB_OFF_PATH_WRITE_total_mean,         0.01
BTB_OFF_PATH_WRITE_total_stddev,         0.10

BP_ON_PATH_CORRECT_count,       2126840
BP_ON_PATH_CORRECT_pct,       99.067
BP_ON_PATH_CORRECT_total_count,       4245042
BP_ON_PATH_CORRECT_total_pct,       98.943

BP_ON_PATH_MISPREDICT_count,         19950
BP_ON_PATH_MISPREDICT_pct,        0.929
BP_ON_PATH_MISPREDICT_total_count,         45136
BP_ON_PATH_MISPREDICT_total_pct,        1.052

BP_ON_PATH_MISFETCH_count,            86
BP_ON_PATH_MISFETCH_pct,        0.004
BP_ON_PATH_MISFETCH_total_count,           233
BP_ON_PATH_MISFETCH_total_pct,        0.005
BP_ON_PATH_MISFETCH_sum_count,       2146876
BP_ON_PATH_MISFETCH_sum_pct,      100.000
BP_ON_PATH_MISFETCH_sum_total_count,       4290411
BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
BP_ON_PATH_MISFETCH_mean,         0.01
BP_ON_PATH_MISFETCH_stddev,         0.10
BP_ON_PATH_MISFETCH_total_mean,         0.01
BP_ON_PATH_MISFETCH_total_stddev,         0.10

BP_OFF_PATH_CORRECT_count,       1172530
BP_OFF_PATH_CORRECT_pct,       99.940
BP_OFF_PATH_CORRECT_total_count,       2529753
BP_OFF_PATH_CORRECT_total_pct,       99.929

BP_OFF_PATH_MISPREDICT_count,           570
BP_OFF_PATH_MISPREDICT_pct,        0.049
BP_OFF_PATH_MISPREDICT_total_count,          1267
BP_OFF_PATH_MISPREDICT_total_pct,        0.050

BP_OFF_PATH_MISFETCH_count,           137
BP_OFF_PATH_MISFETCH_pct,        0.012
BP_OFF_PATH_MISFETCH_total_count,           540
BP_OFF_PATH_MISFETCH_total_pct,        0.021
BP_OFF_PATH_MISFETCH_sum_count,       1173237
BP_OFF_PATH_MISFETCH_sum_pct,      100.000
BP_OFF_PATH_MISFETCH_sum_total_count,       2531560
BP_OFF_PATH_MISFETCH_sum_total_pct,      100.000
BP_OFF_PATH_MISFETCH_mean,         0.00
BP_OFF_PATH_MISFETCH_stddev,         0.03
BP_OFF_PATH_MISFETCH_total_mean,         0.00
BP_OFF_PATH_MISFETCH_total_stddev,         0.04

LATE_BP_ON_PATH_CORRECT_count,       2146876
LATE_BP_ON_PATH_CORRECT_pct,      100.000
LATE_BP_ON_PATH_CORRECT_total_count,       4290411
LATE_BP_ON_PATH_CORRECT_total_pct,      100.000

LATE_BP_ON_PATH_MISPREDICT_count,             0
LATE_BP_ON_PATH_MISPREDICT_pct,        0.000
LATE_BP_ON_PATH_MISPREDICT_total_count,             0
LATE_BP_ON_PATH_MISPREDICT_total_pct,        0.000

LATE_BP_ON_PATH_MISFETCH_count,             0
LATE_BP_ON_PATH_MISFETCH_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_total_count,             0
LATE_BP_ON_PATH_MISFETCH_total_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_sum_count,       2146876
LATE_BP_ON_PATH_MISFETCH_sum_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_sum_total_count,       4290411
LATE_BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_mean,         0.00
LATE_BP_ON_PATH_MISFETCH_stddev,         0.00
LATE_BP_ON_PATH_MISFETCH_total_mean,         0.00
LATE_BP_ON_PATH_MISFETCH_total_stddev,         0.00

LATE_BP_OFF_PATH_CORRECT_count,       1173237
LATE_BP_OFF_PATH_CORRECT_pct,      100.000
LATE_BP_OFF_PATH_CORRECT_total_count,       2531560
LATE_BP_OFF_PATH_CORRECT_total_pct,      100.000

LATE_BP_OFF_PATH_MISPREDICT_count,             0
LATE_BP_OFF_PATH_MISPREDICT_pct,        0.000
LATE_BP_OFF_PATH_MISPREDICT_total_count,             0
LATE_BP_OFF_PATH_MISPREDICT_total_pct,        0.000

LATE_BP_OFF_PATH_MISFETCH_count,             0
LATE_BP_OFF_PATH_MISFETCH_pct,        0.000
LATE_BP_OFF_PATH_MISFETCH_total_count,             0
LATE_BP_OFF_PATH_MISFETCH_total_pct,        0.000
LATE_BP_OFF_PATH_MISFETCH_sum_count,       1173237
LATE_BP_OFF_PATH_MISFETCH_sum_pct,      100.000
LATE_BP_OFF_PATH_MISFETCH_sum_total_count,       2531560
LATE_BP_OFF_PATH_MISFETCH_sum_total_pct,      100.000
LATE_BP_OFF_PATH_MISFETCH_mean,         0.00
LATE_BP_OFF_PATH_MISFETCH_stddev,         0.00
LATE_BP_OFF_PATH_MISFETCH_total_mean,         0.00
LATE_BP_OFF_PATH_MISFETCH_total_stddev,         0.00

BP_ON_PATH_CONF_PVN_count,             0
BP_ON_PATH_CONF_PVN_pct,         -nan
BP_ON_PATH_CONF_PVN_total_count,             0
BP_ON_PATH_CONF_PVN_total_pct,         -nan

BP_ON_PATH_CONF_PVN_BOT_count,             0
BP_ON_PATH_CONF_PVN_BOT_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_total_count,             0
BP_ON_PATH_CONF_PVN_BOT_total_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_sum_count,             0
BP_ON_PATH_CONF_PVN_BOT_sum_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_sum_total_count,             0
BP_ON_PATH_CONF_PVN_BOT_sum_total_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_mean,         -nan
BP_ON_PATH_CONF_PVN_BOT_stddev,         -nan
BP_ON_PATH_CONF_PVN_BOT_total_mean,         -nan
BP_ON_PATH_CONF_PVN_BOT_total_stddev,         -nan

BP_ON_PATH_CONF_PVP_count,             0
BP_ON_PATH_CONF_PVP_pct,         -nan
BP_ON_PATH_CONF_PVP_total_count,             0
BP_ON_PATH_CONF_PVP_total_pct,         -nan

BP_ON_PATH_CONF_PVP_BOT_count,             0
BP_ON_PATH_CONF_PVP_BOT_pct,         -nan
BP_ON_PATH_CONF_PVP_BOT_total_count,             0
BP_ON_PATH_CONF_PVP_BOT_total_pct,         -nan
BP_ON_PATH_CONF_PVP_BOT_sum_count,             0
BP_ON_PATH_CONF_PVP_BOT_sum_pct,         -nan
BP_ON_PATH_CONF_PVP_BOT_sum_total_count,             0
BP_ON_PATH_CONF_PVP_BOT_sum_total_pct,         -nan
BP_ON_PATH_CONF_PVP_BOT_mean,         -nan
BP_ON_PATH_CONF_PVP_BOT_stddev,         -nan
BP_ON_PATH_CONF_PVP_BOT_total_mean,         -nan
BP_ON_PATH_CONF_PVP_BOT_total_stddev,         -nan

BP_ON_PATH_CONF_SPEC_count,             0
BP_ON_PATH_CONF_SPEC_pct,         -nan
BP_ON_PATH_CONF_SPEC_total_count,             0
BP_ON_PATH_CONF_SPEC_total_pct,         -nan

BP_ON_PATH_CONF_SPEC_BOT_count,             0
BP_ON_PATH_CONF_SPEC_BOT_pct,         -nan
BP_ON_PATH_CONF_SPEC_BOT_total_count,             0
BP_ON_PATH_CONF_SPEC_BOT_total_pct,         -nan
BP_ON_PATH_CONF_SPEC_BOT_sum_count,             0
BP_ON_PATH_CONF_SPEC_BOT_sum_pct,         -nan
BP_ON_PATH_CONF_SPEC_BOT_sum_total_count,             0
BP_ON_PATH_CONF_SPEC_BOT_sum_total_pct,         -nan
BP_ON_PATH_CONF_SPEC_BOT_mean,         -nan
BP_ON_PATH_CONF_SPEC_BOT_stddev,         -nan
BP_ON_PATH_CONF_SPEC_BOT_total_mean,         -nan
BP_ON_PATH_CONF_SPEC_BOT_total_stddev,         -nan

CRS_MISS_ON_PATH_count,             0
CRS_MISS_ON_PATH_pct,        0.000
CRS_MISS_ON_PATH_total_count,             0
CRS_MISS_ON_PATH_total_pct,        0.000

CRS_HIT_ON_PATH_count,        301347
CRS_HIT_ON_PATH_pct,      100.000
CRS_HIT_ON_PATH_total_count,        597037
CRS_HIT_ON_PATH_total_pct,      100.000
CRS_HIT_ON_PATH_sum_count,        301347
CRS_HIT_ON_PATH_sum_pct,      100.000
CRS_HIT_ON_PATH_sum_total_count,        597037
CRS_HIT_ON_PATH_sum_total_pct,      100.000
CRS_HIT_ON_PATH_mean,         1.00
CRS_HIT_ON_PATH_stddev,         1.00
CRS_HIT_ON_PATH_total_mean,         1.00
CRS_HIT_ON_PATH_total_stddev,         1.00

CRS_MISS_OFF_PATH_count,             0
CRS_MISS_OFF_PATH_pct,        0.000
CRS_MISS_OFF_PATH_total_count,             0
CRS_MISS_OFF_PATH_total_pct,        0.000

CRS_HIT_OFF_PATH_count,         73451
CRS_HIT_OFF_PATH_pct,      100.000
CRS_HIT_OFF_PATH_total_count,        153394
CRS_HIT_OFF_PATH_total_pct,      100.000
CRS_HIT_OFF_PATH_sum_count,         73451
CRS_HIT_OFF_PATH_sum_pct,      100.000
CRS_HIT_OFF_PATH_sum_total_count,        153394
CRS_HIT_OFF_PATH_sum_total_pct,      100.000
CRS_HIT_OFF_PATH_mean,         1.00
CRS_HIT_OFF_PATH_stddev,         1.00
CRS_HIT_OFF_PATH_total_mean,         1.00
CRS_HIT_OFF_PATH_total_stddev,         1.00

CRS_CLOBBER_count,             0
CRS_CLOBBER_total_count,             0

TARG_ON_PATH_MISS_count,        129241
TARG_ON_PATH_MISS_pct,       53.749
TARG_ON_PATH_MISS_total_count,        258318
TARG_ON_PATH_MISS_total_pct,       53.852

TARG_ON_PATH_HIT_count,        111214
TARG_ON_PATH_HIT_pct,       46.251
TARG_ON_PATH_HIT_total_count,        221364
TARG_ON_PATH_HIT_total_pct,       46.148
TARG_ON_PATH_HIT_sum_count,        240455
TARG_ON_PATH_HIT_sum_pct,      100.000
TARG_ON_PATH_HIT_sum_total_count,        479682
TARG_ON_PATH_HIT_sum_total_pct,      100.000
TARG_ON_PATH_HIT_mean,         0.46
TARG_ON_PATH_HIT_stddev,         0.48
TARG_ON_PATH_HIT_total_mean,         0.46
TARG_ON_PATH_HIT_total_stddev,         0.48

TARG_OFF_PATH_MISS_count,          2677
TARG_OFF_PATH_MISS_pct,       39.991
TARG_OFF_PATH_MISS_total_count,          6978
TARG_OFF_PATH_MISS_total_pct,       45.536

TARG_OFF_PATH_HIT_count,          4017
TARG_OFF_PATH_HIT_pct,       60.009
TARG_OFF_PATH_HIT_total_count,          8346
TARG_OFF_PATH_HIT_total_pct,       54.464
TARG_OFF_PATH_HIT_sum_count,          6694
TARG_OFF_PATH_HIT_sum_pct,      100.000
TARG_OFF_PATH_HIT_sum_total_count,         15324
TARG_OFF_PATH_HIT_sum_total_pct,      100.000
TARG_OFF_PATH_HIT_mean,         0.60
TARG_OFF_PATH_HIT_stddev,         0.56
TARG_OFF_PATH_HIT_total_mean,         0.54
