Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
2766,217.447,1800415,391494840.505,8226,1788719.022
2298,16.1495,1296014,20929978.093,0,0.0
2235,73.9095,1694896,125268915.91199999,73,5395.393499999999
562,151.883,1463780,222323297.74,2327,353431.74100000004
2322,74.3347,1563004,116185433.43879999,48,3568.0656
533,77.6496,2358830,183162205.96800002,1878,145825.9488
655,136.191,1250726,170337624.666,241,32822.031
414,208.958,1902769,397598804.702,15156,3166967.448
253,149.505,1606408,240166028.04,8686,1298600.43
853,129.616,2475134,320816968.544,151,19572.016000000003
907,262.418,2106265,552721848.77,2096,550028.128
1114,12.9007,471776,6086240.6432,23,296.7161
939,1055.11,2089410,2204557385.1,31052,32763275.719999995
2606,11.2554,1288291,14500230.521399999,111,1249.3494
2837,150.956,1655600,249922753.6,8192,1236631.552
1793,150.359,1989203,299094573.87700003,136,20448.824
1046,85.9267,1303352,111992736.2984,9105,782362.6035
554,46.3771,1754349,81361619.0079,550,25507.405
1970,47.9169,977297,46829042.6193,5216,249934.55039999998

weighted_avg,NA,NA,5755350528.0460005,NA,42444636.944299996
weighted_%,NA,NA,0.9926791761805247,NA,0.007320823819475348
weighted_total,5797795164.9903
