Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
2766,217.447,1410,306600.27,23047,5011501.009
2298,16.1495,0,0.0,0,0.0
2235,73.9095,0,0.0,178,13155.891
562,151.883,292,44349.836,3418,519136.09400000004
2322,74.3347,2,148.6694,57,4237.0779
533,77.6496,55,4270.728,3325,258184.92
655,136.191,1,136.191,477,64963.107
414,208.958,1645,343735.91,55504,11598004.832
253,149.505,3286,491273.43,15045,2249302.725
853,129.616,2,259.232,225,29163.600000000002
907,262.418,235,61668.23,1817,476813.506
1114,12.9007,1,12.9007,7,90.3049
939,1055.11,3551,3746695.61,112465,118662946.14999999
2606,11.2554,1,11.2554,250,2813.85
2837,150.956,3480,525326.88,12708,1918348.8479999998
1793,150.359,0,0.0,239,35935.801
1046,85.9267,1988,170822.27959999998,14329,1231243.6842999998
554,46.3771,44,2040.5924,451,20916.072099999998
1970,47.9169,90,4312.521,672,32200.156799999997

weighted_avg,NA,NA,5701664.5355,NA,142128957.629
weighted_%,NA,NA,0.03856890035378067,NA,0.9614310996462194
weighted_total,147830622.1645
