Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
2766,217.447,1688168,367087067.096,359538,78180459.486
2298,16.1495,1276686,20617840.557,32738,528702.331
2235,73.9095,1555987,115002221.1765,330165,24402330.0675
562,151.883,1197818,181928191.294,898160,136415235.28
2322,74.3347,1462557,108718735.82789999,266631,19819935.3957
533,77.6496,1552544,120554420.58240001,1668060,129524191.77600001
655,136.191,1192108,162354380.628,164249,22369235.559
414,208.958,1531570,320033804.06,1114562,232896646.396
253,149.505,1297764,194022206.82,603871,90281733.855
853,129.616,1843139,238900304.624,1250142,162038405.472
907,262.418,1425824,374161882.432,1769827,464434461.686
1114,12.9007,413355,5332568.8485,155709,2008755.0963
939,1055.11,1456841,1537127507.5099998,1771375,1868995476.2499998
2606,11.2554,1582052,17806628.0808,180558,2032252.5132
2837,150.956,1425642,215209213.75199997,743311,112207255.31599998
1793,150.359,1486076,223444901.284,1100391,165453690.36900002
1046,85.9267,1228792,105586041.5464,286940,24655807.298
554,46.3771,1369454,63511305.1034,800300,37115593.129999995
1970,47.9169,1351288,64749531.967199996,31876,1527399.1043999998

weighted_avg,NA,NA,4436148753.1901,NA,3574887566.3810997
weighted_%,NA,NA,0.5537546674644898,NA,0.4462453325355102
weighted_total,8011036319.571199
