Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2766,217.447,30974,6735203.3780000005,0,0.0
2298,16.1495,0,0.0,0,0.0
2235,73.9095,3040,224684.87999999998,0,0.0
562,151.883,34339,5215510.337,0,0.0
2322,74.3347,1335,99236.8245,0,0.0
533,77.6496,71933,5585568.6768000005,0,0.0
655,136.191,10092,1374439.572,0,0.0
414,208.958,330519,69064589.20199999,21,4388.118
253,149.505,93899,14038369.995,0,0.0
853,129.616,5851,758383.2160000001,0,0.0
907,262.418,18971,4978331.8780000005,0,0.0
1114,12.9007,764,9856.1348,0,0.0
939,1055.11,367872,388145425.91999996,402,424154.22
2606,11.2554,5820,65506.428,0,0.0
2837,150.956,48281,7288306.635999999,0,0.0
1793,150.359,4799,721572.841,0,0.0
1046,85.9267,87153,7488769.685099999,0,0.0
554,46.3771,8568,397358.9928,0,0.0
1970,47.9169,425270,20377620.063,0,0.0

weighted_avg,NA,NA,532568734.65999997,NA,428542.338
weighted_%,NA,NA,0.9991959764965148,NA,0.0008040235034851934
weighted_total,532997276.99799997
