Simpoints,Weight,ICACHE_MISS_NOT_PREFETCHED_val,ICACHE_MISS_NOT_PREFETCHED_w_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_w_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_w_val
2766,217.447,16,3479.152,0,0.0,0,0.0,78,16960.866,3227,701701.469
2298,16.1495,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2235,73.9095,0,0.0,0,0.0,0,0.0,6,443.457,64,4730.208
562,151.883,4,607.532,0,0.0,0,0.0,44,6682.852000000001,2141,325181.503
2322,74.3347,0,0.0,0,0.0,0,0.0,1,74.3347,33,2453.0451
533,77.6496,12,931.7952,0,0.0,0,0.0,118,9162.652800000002,1688,131072.5248
655,136.191,2,272.382,0,0.0,0,0.0,3,408.573,215,29281.065000000002
414,208.958,227,47433.466,0,0.0,1,208.958,1239,258898.962,10946,2287254.268
253,149.505,10,1495.05,0,0.0,0,0.0,130,19435.649999999998,7304,1091984.52
853,129.616,1,129.616,0,0.0,0,0.0,2,259.232,119,15424.304000000002
907,262.418,9,2361.762,0,0.0,0,0.0,18,4723.524,2058,540056.2440000001
1114,12.9007,0,0.0,0,0.0,0,0.0,0,0.0,20,258.014
939,1055.11,247,260612.16999999998,0,0.0,0,0.0,1531,1615373.41,20205,21318497.549999997
2606,11.2554,13,146.3202,0,0.0,0,0.0,9,101.2986,80,900.432
2837,150.956,22,3321.0319999999997,0,0.0,0,0.0,24,3622.9439999999995,5749,867846.0439999999
1793,150.359,27,4059.693,0,0.0,0,0.0,5,751.7950000000001,88,13231.592
1046,85.9267,14,1202.9738,0,0.0,0,0.0,204,17529.0468,7879,677016.4693
554,46.3771,2,92.7542,0,0.0,0,0.0,8,371.0168,468,21704.482799999998
1970,47.9169,1387,66460.74029999999,0,0.0,0,0.0,151,7235.4519,4615,221136.49349999998

weighted_avg,NA,NA,392606.43870000006,NA,0.0,NA,208.958,NA,1962035.0665999998,NA,28249730.2285
weighted_%,NA,NA,0.012828355423447855,NA,0.0,NA,6.827670736753041e-06,NA,0.06410919614806862,NA,0.9230556207577467
weighted_total,30604580.691800002
