Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2766,217.447,2165,470772.755,0,0.0
2298,16.1495,0,0.0,0,0.0
2235,73.9095,19,1404.2804999999998,0,0.0
562,151.883,1343,203978.869,0,0.0
2322,74.3347,34,2527.3797999999997,0,0.0
533,77.6496,714,55441.8144,0,0.0
655,136.191,62,8443.842,0,0.0
414,208.958,6960,1454347.68,4,835.832
253,149.505,5572,833041.86,0,0.0
853,129.616,41,5314.256,0,0.0
907,262.418,1048,275014.064,0,0.0
1114,12.9007,14,180.6098,0,0.0
939,1055.11,14730,15541770.299999999,1,1055.11
2606,11.2554,27,303.8958,0,0.0
2837,150.956,3257,491663.692,0,0.0
1793,150.359,17,2556.103,0,0.0
1046,85.9267,6233,535581.1211,0,0.0
554,46.3771,227,10527.6017,0,0.0
1970,47.9169,2863,137186.0847,0,0.0

weighted_avg,NA,NA,20030056.2088,NA,1890.942
weighted_%,NA,NA,0.999905603684666,NA,9.439631533395309e-05
weighted_total,20031947.1508
