Simpoints,Weight,ICACHE_MISS_NOT_PREFETCHED_val,ICACHE_MISS_NOT_PREFETCHED_w_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_w_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_w_val
2766,217.447,5,1087.2350000000001,0,0.0,0,0.0,57,12394.479,2554,555359.638
2298,16.1495,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2235,73.9095,0,0.0,0,0.0,0,0.0,7,517.3665,62,4582.388999999999
562,151.883,5,759.4150000000001,0,0.0,0,0.0,48,7290.384,2103,319409.949
2322,74.3347,0,0.0,0,0.0,0,0.0,0,0.0,50,3716.7349999999997
533,77.6496,15,1164.7440000000001,0,0.0,0,0.0,133,10327.3968,1639,127267.69440000001
655,136.191,2,272.382,0,0.0,0,0.0,5,680.955,198,26965.818
414,208.958,533,111374.614,1,208.958,1,208.958,1024,213972.992,11680,2440629.44
253,149.505,8,1196.04,0,0.0,0,0.0,128,19136.64,6300,941881.5
853,129.616,1,129.616,0,0.0,0,0.0,2,259.232,106,13739.296000000002
907,262.418,6,1574.508,0,0.0,0,0.0,19,4985.942,1685,442174.33
1114,12.9007,1,12.9007,0,0.0,0,0.0,0,0.0,19,245.1133
939,1055.11,599,632010.8899999999,2,2110.22,0,0.0,1339,1412792.2899999998,21747,22945477.169999998
2606,11.2554,1,11.2554,0,0.0,0,0.0,9,101.2986,71,799.1333999999999
2837,150.956,12,1811.4719999999998,0,0.0,0,0.0,21,3170.0759999999996,4307,650167.492
1793,150.359,7,1052.5130000000001,0,0.0,0,0.0,5,751.7950000000001,88,13231.592
1046,85.9267,12,1031.1204,0,0.0,0,0.0,170,14607.538999999999,6896,592550.5231999999
554,46.3771,2,92.7542,0,0.0,0,0.0,10,463.77099999999996,416,19292.8736
1970,47.9169,195,9343.7955,0,0.0,0,0.0,169,8097.956099999999,3144,150650.7336

weighted_avg,NA,NA,762925.2551999999,NA,2319.178,NA,208.958,NA,1709550.113,NA,29248141.4205
weighted_%,NA,NA,0.02404948365021583,NA,7.310681225032836e-05,NA,6.586925744468132e-06,NA,0.053889679508696026,NA,0.9219811431030933
weighted_total,31723144.9247
