Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
2766,217.447,682480780,148403398168.66
2298,16.1495,514461305,8308292845.0975
2235,73.9095,2316053680,171178369461.96
562,151.883,688631237,104591378169.27101
2322,74.3347,703980185,52330155857.9195
533,77.6496,1559048144,121059464762.3424
655,136.191,942340609,128338309880.319
414,208.958,870477652,181893269206.616
253,149.505,957145556,143098046349.78
853,129.616,2222585142,288082595765.47205
907,262.418,920890457,241658231945.026
1114,12.9007,1256833682,16214034281.377401
939,1055.11,850549897,897423701823.6699
2606,11.2554,7597951640,85517984888.856
2837,150.956,896794443,135376501937.508
1793,150.359,3213109629,483119950706.81104
1046,85.9267,854223592,73400614322.70639
554,46.3771,663894102,30789483157.8642
1970,47.9169,9933562681,475985529629.20886

weighted_avg,NA,NA,3786769313160.4653
weighted_%,NA,NA,1.0
weighted_total,3786769313160.4653
