Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2766,217.447,171065,37197571.055
2298,16.1495,0,0.0
2235,73.9095,34360,2539530.42
562,151.883,270310,41055493.730000004
2322,74.3347,8970,666782.259
533,77.6496,674415,52368054.984000005
655,136.191,74900,10200705.9
414,208.958,2657550,555316332.9
253,149.505,914570,136732787.85
853,129.616,46865,6074453.840000001
907,262.418,148735,39030741.230000004
1114,12.9007,6095,78629.7665
939,1055.11,2986145,3150711450.95
2606,11.2554,37865,426185.721
2837,150.956,329150,49687167.4
1793,150.359,47535,7147315.065
1046,85.9267,1092480,93873201.21599999
554,46.3771,75585,3505413.1034999997
1970,47.9169,3260550,156235448.295

weighted_avg,NA,NA,4342847265.685
weighted_%,NA,NA,1.0
weighted_total,4342847265.685
