Core, 0
Cumulative Cycles, 12060873            
Cumulative Instructions, 20000000            
Cumulative IPC, 1.65825
Periodic Cycles, 5025194             
Periodic Instructions, 9999998             
Periodic IPC, 1.98997

ICACHE_MISS_count,          4100
ICACHE_MISS_pct,        0.255
ICACHE_MISS_total_count,         11582
ICACHE_MISS_total_pct,        0.306

ICACHE_HIT_count,       1605416
ICACHE_HIT_pct,       99.745
ICACHE_HIT_total_count,       3775494
ICACHE_HIT_total_pct,       99.694
ICACHE_HIT_sum_count,       1609516
ICACHE_HIT_sum_pct,      100.000
ICACHE_HIT_sum_total_count,       3787076
ICACHE_HIT_sum_total_pct,      100.000
ICACHE_HIT_mean,         1.00
ICACHE_HIT_stddev,         1.00
ICACHE_HIT_total_mean,         1.00
ICACHE_HIT_total_stddev,         1.00

ICACHE_MISS_ONPATH_count,          3640
ICACHE_MISS_ONPATH_pct,       88.780
ICACHE_MISS_ONPATH_total_count,          9199
ICACHE_MISS_ONPATH_total_pct,       79.425

ICACHE_MISS_OFFPATH_count,           460
ICACHE_MISS_OFFPATH_pct,       11.220
ICACHE_MISS_OFFPATH_total_count,          2383
ICACHE_MISS_OFFPATH_total_pct,       20.575
ICACHE_MISS_OFFPATH_sum_count,          4100
ICACHE_MISS_OFFPATH_sum_pct,      100.000
ICACHE_MISS_OFFPATH_sum_total_count,         11582
ICACHE_MISS_OFFPATH_sum_total_pct,      100.000
ICACHE_MISS_OFFPATH_mean,         0.11
ICACHE_MISS_OFFPATH_stddev,         0.30
ICACHE_MISS_OFFPATH_total_mean,         0.21
ICACHE_MISS_OFFPATH_total_stddev,         0.37

ICACHE_MISS_NOT_PREFETCHED_count,            16
ICACHE_MISS_NOT_PREFETCHED_pct,        0.400
ICACHE_MISS_NOT_PREFETCHED_total_count,           138
ICACHE_MISS_NOT_PREFETCHED_total_pct,        1.241

ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IF_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IF_pct,        0.000
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IF_total_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IF_total_pct,        0.000

ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FD_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FD_pct,        0.000
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FD_total_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FD_total_pct,        0.000

ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_count,            45
ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_pct,        1.125
ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_total_count,           211
ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_total_pct,        1.897

ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_count,          3940
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_pct,       98.475
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_total_count,         10775
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_total_pct,       96.863
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_sum_count,          4001
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_sum_pct,      100.000
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_sum_total_count,         11124
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_sum_total_pct,      100.000
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_mean,         3.97
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_stddev,         3.94
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_total_mean,         3.93
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_total_stddev,         3.87

ICACHE_HIT_ONPATH_count,       1253845
ICACHE_HIT_ONPATH_pct,       78.101
ICACHE_HIT_ONPATH_total_count,       2522682
ICACHE_HIT_ONPATH_total_pct,       66.817

ICACHE_HIT_OFFPATH_count,        351571
ICACHE_HIT_OFFPATH_pct,       21.899
ICACHE_HIT_OFFPATH_total_count,       1252812
ICACHE_HIT_OFFPATH_total_pct,       33.183
ICACHE_HIT_OFFPATH_sum_count,       1605416
ICACHE_HIT_OFFPATH_sum_pct,      100.000
ICACHE_HIT_OFFPATH_sum_total_count,       3775494
ICACHE_HIT_OFFPATH_sum_total_pct,      100.000
ICACHE_HIT_OFFPATH_mean,         0.22
ICACHE_HIT_OFFPATH_stddev,         0.38
ICACHE_HIT_OFFPATH_total_mean,         0.33
ICACHE_HIT_OFFPATH_total_stddev,         0.43

ICACHE_HIT_ONPATH_SAT_BY_OFFPATH_count,         10401
ICACHE_HIT_ONPATH_SAT_BY_OFFPATH_pct,        0.318
ICACHE_HIT_ONPATH_SAT_BY_OFFPATH_total_count,         26107
ICACHE_HIT_ONPATH_SAT_BY_OFFPATH_total_pct,        0.400

ICACHE_HIT_ONPATH_SAT_BY_ONPATH_count,       3258423
ICACHE_HIT_ONPATH_SAT_BY_ONPATH_pct,       99.682
ICACHE_HIT_ONPATH_SAT_BY_ONPATH_total_count,       6498743
ICACHE_HIT_ONPATH_SAT_BY_ONPATH_total_pct,       99.600
