Simpoints,Weight,ST_OP_CF_val,ST_OP_CF_w_val
2766,217.447,19.293,4195.204971
2298,16.1495,15.466,249.76816699999998
2235,73.9095,16.189,1196.5208954999998
562,151.883,18.442,2801.0262860000003
2322,74.3347,20.62,1532.781514
533,77.6496,18.465,1433.799864
655,136.191,15.175,2066.698425
414,208.958,16.396,3426.0753680000003
253,149.505,18.183,2718.449415
853,129.616,19.115,2477.60984
907,262.418,17.001,4461.368418
1114,12.9007,20.024,258.3236168
939,1055.11,16.376,17278.481359999998
2606,11.2554,21.898,246.4707492
2837,150.956,15.921,2403.3704759999996
1793,150.359,19.413,2918.919267
1046,85.9267,17.567,1509.4743389
554,46.3771,17.687,820.2717677
1970,47.9169,24.872,1191.7891368

weighted_avg,NA,NA,53186.403875899996
weighted_%,NA,NA,1.0
weighted_total,53186.403875899996
