Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
2766,217.447,4111005,893925704.235
2298,16.1495,2878184,46481232.508
2235,73.9095,12381572,915115795.734
562,151.883,3911165,594039473.695
2322,74.3347,4292994,319118421.0918
533,77.6496,9310433,722951398.2768
655,136.191,4302105,585907982.0550001
414,208.958,4702086,982538486.388
253,149.505,5025194,751291628.97
853,129.616,12795076,1658446570.8160002
907,262.418,5285704,1387063872.272
1114,12.9007,7852223,101299173.2561
939,1055.11,4780845,5044317367.95
2606,11.2554,48684521,547963757.6633999
2837,150.956,4611204,696088911.0239999
1793,150.359,18280290,2748606124.11
1046,85.9267,4220362,362641779.4654
554,46.3771,3765932,174653004.9572
1970,47.9169,76556172,3668334438.1068

weighted_avg,NA,NA,22200785122.5745
weighted_%,NA,NA,1.0
weighted_total,22200785122.5745
