Simpoints,Weight,FDIP_PREFETCH_HIT_ICACHE_val,FDIP_PREFETCH_HIT_ICACHE_w_val,FDIP_PREFETCH_HIT_MLC_val,FDIP_PREFETCH_HIT_MLC_w_val,FDIP_PREFETCH_HIT_L1_val,FDIP_PREFETCH_HIT_L1_w_val,FDIP_PREFETCH_HIT_DRAM_val,FDIP_PREFETCH_HIT_DRAM_w_val
2766,217.447,1982332,431052146.404,146257,31803145.879,240,52187.28,10,2174.4700000000003
2298,16.1495,1315266,21240888.267,0,0.0,0,0.0,0,0.0
2235,73.9095,1869727,138190587.7065,0,0.0,0,0.0,258,19068.650999999998
562,151.883,2235235,339494197.505,21356,3243613.348,3063,465217.629,1313,199422.37900000002
2322,74.3347,1779763,132298148.6761,16,1189.3552,20,1486.694,38,2824.7186
533,77.6496,3468755,269347438.248,2151,167024.28960000002,1705,132392.568,5460,423966.81600000005
655,136.191,1381936,188207245.776,4,544.764,6,817.146,847,115353.777
414,208.958,2488572,520007027.976,115796,24196500.568,11070,2313165.06,13323,2783947.434
253,149.505,1840030,275093685.15,142006,21230607.03,23473,3509330.8649999998,493,73705.965
853,129.616,3289905,426424326.48,1,129.616,1,129.616,410,53142.560000000005
907,262.418,3466202,909593796.436,19928,5229465.904,1051,275801.318,377,98931.586
1114,12.9007,600823,7751037.2761,2612,33696.6284,2,25.8014,8,103.2056
939,1055.11,3162364,3336641880.0399995,265995,280653984.45,14763,15576588.929999998,12375,13056986.249999998
2606,11.2554,1545339,17393408.5806,1,11.2554,0,0.0,373,4198.2642
2837,150.956,2112958,318963687.848,188889,28513927.884,1164,175712.78399999999,243,36682.308
1793,150.359,2684441,403629864.319,1,150.359,1,150.359,933,140284.94700000001
1046,85.9267,1440312,123761257.1304,106174,9123181.445799999,24603,2114054.6001,964,82833.3388
554,46.3771,2293655,106373067.30049999,2762,128093.5502,1208,56023.5368,670,31072.657
1970,47.9169,1360974,65213655.0606,71,3402.0998999999997,51,2443.7619,26334,1261843.6446

weighted_avg,NA,NA,8030677346.179799,NA,404328668.4265,NA,24675527.9492,NA,18386542.971799996
weighted_%,NA,NA,0.9472296359460441,NA,0.0476911325018396,NA,0.0029105130673959772,NA,0.0021687184847202644
weighted_total,8478068085.527299
