Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
2766,217.447,1560136,339246892.792,422196,91805253.612
2298,16.1495,1276674,20617646.763,38592,623241.504
2235,73.9095,1490110,110133285.04499999,379617,28057302.6615
562,151.883,1177631,178862129.173,1057604,160632068.33200002
2322,74.3347,1460699,108580621.9553,319064,23717526.7208
533,77.6496,1546994,120123465.30240001,1921761,149223972.9456
655,136.191,1187841,161773253.631,194095,26433992.145
414,208.958,1354387,283009998.746,1134185,236997029.23
253,149.505,1152904,172364912.51999998,687126,102728772.63
853,129.616,1837574,238178991.58400002,1452331,188245334.89600003
907,262.418,1411936,370517421.248,2054266,539076375.188
1114,12.9007,412307,5319048.9149,188516,2431988.3612
939,1055.11,1264429,1334111682.1899998,1897935,2002530197.85
2606,11.2554,1339567,15077362.411799999,205772,2316046.1688
2837,150.956,1265663,191059423.82799998,847295,127904264.02
1793,150.359,1416363,212962924.317,1268078,190666940.002
1046,85.9267,1110449,95417218.08829999,329863,28344039.042099997
554,46.3771,1366352,63367443.3392,927303,43005623.9613
1970,47.9169,1323289,63407906.684099995,37685,1805748.3765

weighted_avg,NA,NA,4084131628.533,NA,3946545717.6468
weighted_%,NA,NA,0.5085662706242114,NA,0.4914337293757886
weighted_total,8030677346.1798
