Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2766,217.447,2900,630596.3,0,0.0
2298,16.1495,0,0.0,0,0.0
2235,73.9095,24,1773.828,0,0.0
562,151.883,1336,202915.68800000002,0,0.0
2322,74.3347,21,1561.0286999999998,0,0.0
533,77.6496,654,50782.83840000001,0,0.0
655,136.191,77,10486.707,0,0.0
414,208.958,6818,1424675.644,4,835.832
253,149.505,3357,501888.285,0,0.0
853,129.616,50,6480.800000000001,0,0.0
907,262.418,1331,349278.358,0,0.0
1114,12.9007,13,167.7091,0,0.0
939,1055.11,14196,14978341.559999999,5,5275.549999999999
2606,11.2554,31,348.9174,0,0.0
2837,150.956,4048,611069.8879999999,0,0.0
1793,150.359,26,3909.3340000000003,0,0.0
1046,85.9267,2192,188351.3264,0,0.0
554,46.3771,237,10991.3727,0,0.0
1970,47.9169,3504,167900.81759999998,0,0.0

weighted_avg,NA,NA,19141520.402299996,NA,6111.382
weighted_%,NA,NA,0.999680828309796,NA,0.0003191716902040594
weighted_total,19147631.784299996
