Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2766,217.447,100676,21891694.172000002,30182,6562985.354
2298,16.1495,0,0.0,0,0.0
2235,73.9095,58,4286.750999999999,983,72653.0385
562,151.883,15581,2366489.023,12853,1952152.199
2322,74.3347,10,743.347,26,1932.7022
533,77.6496,2105,163452.40800000002,10634,825725.8464
655,136.191,91,12393.381,1103,150218.673
414,208.958,70766,14787121.828,99652,20823082.616
253,149.505,116057,17351101.785,39631,5925032.655
853,129.616,107,13868.912000000002,1032,133763.71200000003
907,262.418,11273,2958238.114,14745,3869353.41
1114,12.9007,820,10578.574,302,3896.0114000000003
939,1055.11,161666,170575413.26,174317,183923609.86999997
2606,11.2554,40,450.216,335,3770.5589999999997
2837,150.956,137529,20760827.724,65084,9824820.304
1793,150.359,65,9773.335000000001,1228,184640.852
1046,85.9267,94550,8124369.484999999,22971,1973822.2256999998
554,46.3771,2030,94145.51299999999,3494,162041.5874
1970,47.9169,3573,171207.0837,2551,122236.0119

weighted_avg,NA,NA,259296154.9117,NA,236515737.62749994
weighted_%,NA,NA,0.5229728427524547,NA,0.47702715724754524
weighted_total,495811892.53919995
