Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
2766,217.447,150317,32685980.699,6455,1403620.385,4569020,993519691.94
2298,16.1495,3161,51048.5695,266,4295.767,2212696,35733934.052
2235,73.9095,616589,45571784.695499994,43656,3226593.1319999998,3265851,241377414.4845
562,151.883,122888,18664598.104000002,1141,173298.503,3476267,527985860.76100004
2322,74.3347,86867,6457232.3849,17,1263.6898999999999,3304543,245642212.54209998
533,77.6496,703058,54592172.4768,7742,601163.2032000001,3638910,282559905.93600005
655,136.191,240238,32718253.458,3798,517253.418,4774773,650281109.643
414,208.958,291554,60922540.732,6536,1365749.488,3913551,817767789.858
253,149.505,692510,103533707.55,9063,1354963.815,2961992,442832613.96
853,129.616,640043,82959813.488,1526,197794.01600000003,2794850,362257277.6
907,262.418,95696,25112352.928,901,236438.61800000002,4141751,1086870013.918
1114,12.9007,642197,8284790.837900001,1940,25027.358,6081878,78460483.51460001
939,1055.11,168583,177873609.13,7009,7395265.989999999,3782200,3990637041.9999995
2606,11.2554,5189990,58415413.446,17469,196620.5826,3229986,36354784.4244
2837,150.956,243337,36733180.172,6262,945286.472,4412947,666160827.3319999
1793,150.359,955204,143623518.236,75947,11419314.973000001,3087761,464272656.199
1046,85.9267,724626,62264720.9142,8605,739399.2535,3180798,273315475.50659996
554,46.3771,134491,6237302.5561,1776,82365.72959999999,3431835,159158554.9785
1970,47.9169,52163899,2499532331.9930997,4158,199238.47019999998,12316942,590189678.1198

weighted_avg,NA,NA,3456234352.3709993,NA,30084952.864,NA,11945377326.7695
weighted_%,NA,NA,0.22396982229439097,NA,0.001949555747590673,NA,0.7740806219580184
weighted_total,15431696632.0045
