Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
2766,217.447,199139,43302178.133,3739,813034.333
2298,16.1495,0,0.0,0,0.0
2235,73.9095,12062,891496.389,51156,3780914.3819999998
562,151.883,25183,3824869.589,9684,1470834.972
2322,74.3347,3879,288344.3013,5232,388919.1504
533,77.6496,57904,4496222.4384,13804,1071875.0784
655,136.191,13811,1880933.901,7845,1068418.395
414,208.958,917970,191817175.26,288434,60270591.772
253,149.505,60083,8982708.915,4502,673071.51
853,129.616,89032,11539971.712000001,24963,3235604.2080000006
907,262.418,14722,3863317.796,4876,1279550.168
1114,12.9007,1040,13416.728000000001,590,7611.4130000000005
939,1055.11,796802,840713758.2199999,155691,164271131.01
2606,11.2554,87377,983463.0858,240074,2702128.8996
2837,150.956,32128,4849914.368,1579,238359.52399999998
1793,150.359,46130,6936060.670000001,102526,15415706.834
1046,85.9267,87721,7537576.0507,3751,322311.0517
554,46.3771,5615,260407.4165,2382,110470.2522
1970,47.9169,2263,108435.9447,821,39339.7749

weighted_avg,NA,NA,1132290250.9184,NA,257159872.72819996
weighted_%,NA,NA,0.8149196805616268,NA,0.18508031943837328
weighted_total,1389450123.6466
