Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
2766,217.447,4146189,901576359.483
2298,16.1495,2878184,46481232.508
2235,73.9095,12427346,918498929.1869999
562,151.883,3912605,594258185.215
2322,74.3347,4276930,317924308.471
533,77.6496,9326925,724231995.48
655,136.191,4292588,584611852.308
414,208.958,4755323,993662783.434
253,149.505,5067405,757602384.525
853,129.616,12716440,1648254087.0400002
907,262.418,5285723,1387068858.214
1114,12.9007,7843338,101184550.53660001
939,1055.11,4891428,5160994597.08
2606,11.2554,48694934,548080960.1436
2837,150.956,4625262,698211050.472
1793,150.359,18276617,2748053855.5030003
1046,85.9267,4284431,368147017.2077
554,46.3771,3762615,174499172.1165
1970,47.9169,76582464,3669594269.2416

weighted_avg,NA,NA,22342936448.166
weighted_%,NA,NA,1.0
weighted_total,22342936448.166
