Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
2766,217.447,118566836,25782002787.692
2298,16.1495,89521069,1445720503.8155
2235,73.9095,396718319,29321252598.130497
562,151.883,98778603,15002790559.449001
2322,74.3347,128411882,9545458724.9054
533,77.6496,268217528,20826983762.1888
655,136.191,134994176,18384991823.616
414,208.958,121904358,25472890838.964
253,149.505,146918957,21965118666.285
853,129.616,392787031,50911483810.09601
907,262.418,122324583,32100172421.694
1114,12.9007,233943198,3018031014.4386
939,1055.11,106823995,112711065364.44998
2606,11.2554,1591289526,17910600130.9404
2837,150.956,126009382,19021872269.191998
1793,150.359,573319444,86203738280.39601
1046,85.9267,127532266,10958426760.902199
554,46.3771,103243295,4788124616.544499
1970,47.9169,2512959244,120413216798.8236

weighted_avg,NA,NA,625783941732.5234
weighted_%,NA,NA,1.0
weighted_total,625783941732.5234
