Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
2766,217.447,7,1522.129,11531,2507381.357
2298,16.1495,0,0.0,0,0.0
2235,73.9095,0,0.0,101,7464.8595
562,151.883,20,3037.6600000000003,2065,313638.395
2322,74.3347,0,0.0,16,1189.3552
533,77.6496,17,1320.0432,1944,150950.8224
655,136.191,0,0.0,316,43036.356
414,208.958,96,20059.968,24262,5069738.996
253,149.505,8,1196.04,9608,1436444.04
853,129.616,1,129.616,148,19183.168
907,262.418,16,4198.688,1521,399137.778
1114,12.9007,0,0.0,3,38.7021
939,1055.11,186,196250.46,54718,57733508.98
2606,11.2554,0,0.0,157,1767.0978
2837,150.956,45,6793.0199999999995,6760,1020462.5599999999
1793,150.359,0,0.0,146,21952.414
1046,85.9267,34,2921.5078,7005,601916.5335
554,46.3771,3,139.1313,221,10249.3391
1970,47.9169,0,0.0,63,3018.7646999999997

weighted_avg,NA,NA,237568.2633,NA,69341079.5183
weighted_%,NA,NA,0.0034143845974946452,NA,0.9965856154025053
weighted_total,69578647.7816
