Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
2766,217.447,58765783,12778443216.001
2298,16.1495,0,0.0
2235,73.9095,562624037,41583261262.6515
562,151.883,217558979,33043510407.457
2322,74.3347,29129461,2165329744.5966997
533,77.6496,156624387,12161821000.7952
655,136.191,59729088,8134564223.808001
414,208.958,3440235609,718864752385.422
253,149.505,35600112,5322394744.559999
853,129.616,343512511,44524717625.776
907,262.418,95590290,25084612721.22
1114,12.9007,2557166,32989231.4162
939,1055.11,2249858000,2373847674380.0
2606,11.2554,982328840,11056504025.736
2837,150.956,23242487,3508592867.5719995
1793,150.359,584539238,87890735286.442
1046,85.9267,37261476,3201755669.8092
554,46.3771,47911704,2222005887.5784
1970,47.9169,8445118,404663874.6942

weighted_avg,NA,NA,3385828328555.535
weighted_%,NA,NA,1.0
weighted_total,3385828328555.535
