Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_w_val
2766,217.447,13,2826.811,0,0.0
2298,16.1495,0,0.0,0,0.0
2235,73.9095,7,517.3665,22,1626.0089999999998
562,151.883,61,9264.863000000001,128,19441.024
2322,74.3347,3,223.0041,8,594.6776
533,77.6496,138,10715.6448,134,10405.046400000001
655,136.191,21,2860.011,40,5447.64
414,208.958,486,101553.588,1797,375497.526
253,149.505,3,448.515,12,1794.06
853,129.616,10,1296.16,12,1555.3920000000003
907,262.418,11,2886.598,24,6298.032
1114,12.9007,1,12.9007,0,0.0
939,1055.11,297,313367.67,1891,1995213.0099999998
2606,11.2554,10,112.554,25,281.385
2837,150.956,4,603.824,0,0.0
1793,150.359,6,902.154,15,2255.385
1046,85.9267,42,3608.9213999999997,85,7303.769499999999
554,46.3771,10,463.77099999999996,15,695.6564999999999
1970,47.9169,0,0.0,0,0.0

weighted_avg,NA,NA,451664.3565,NA,2428408.6129999994
weighted_%,NA,NA,0.15682392817235183,NA,0.8431760718276481
weighted_total,2880072.9694999997
