Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
517,810.151,392109,317667498.459,35600,28841375.599999998
5297,898.498,391530,351788921.94,37856,34013540.288
5168,967.77,392048,379412292.96,36753,35568450.81
2807,979.819,391991,384080229.629,37693,36932317.567
2215,509.983,391923,199874067.30900002,36704,18718416.032
1490,862.35,391835,337898912.25,38567,33258252.45
3954,490.914,391863,192371032.782,35739,17544775.446
2031,399.553,391794,156542468.082,35864,14329568.792

weighted_avg,NA,NA,2319635423.411,NA,219206696.98499998
weighted_%,NA,NA,0.9136587914530073,NA,0.08634120854699262
weighted_total,2538842120.396
