cf_type,addr,target,bpu_hit_uc_hit,bpu_hit_uc_miss,mispred_uc_hit,mispred_uc_miss,misfetch_uc_hit,misfetch_uc_miss,btb_miss_uc_hit,btb_miss_uc_miss,other_recovery_uc_hit,other_recovery_uc_miss,recover_redirect_extra_fetch_latency
2,7f717d5f793b,0,0,338,0,0,0,0,0,0,0,0,0
3,7f717d5f7934,7f717d23b000,0,338,0,0,0,0,0,1,0,0,2
1,7f717d5ff571,7f717d5ff40d,0,338,0,0,0,0,0,1,0,0,2
2,7f717d5ff56b,0,0,338,0,0,0,0,0,0,0,0,0
2,7f717d5ff167,7f717d5ff172,0,338,0,0,0,0,0,1,0,0,2
7,7f717d47611e,7f717d1fe7d3,0,1014,0,0,0,0,0,0,0,0,0
2,7f717d5ff955,7f717d5ff564,0,338,0,0,0,0,0,1,0,0,2
2,7f717d5ff110,0,0,338,0,0,0,0,0,0,0,0,0
2,7f717d5ff50a,7f717d5ff49a,0,338,0,0,0,0,0,1,0,0,2
2,7f717d5775f8,0,0,2366,0,0,0,0,0,0,0,0,0
2,7f717d5ff1ab,0,0,338,0,0,0,0,0,1,0,0,2
2,7f718145fd56,7f718146031a,0,676,0,0,0,0,0,1,0,0,2
2,7f717d5ff1e7,7f717d5ff1f9,0,338,0,0,0,0,0,1,0,0,2
3,7f717d5ff1df,7f717d5fef50,0,338,0,0,0,0,0,1,0,0,2
2,7f718145fd67,0,0,338,0,0,0,0,0,0,0,0,0
2,7f718155f566,7f718155f300,0,1690,0,0,0,0,0,1,0,0,2
3,7f717d5775d1,7f717d16c8c0,0,2366,0,0,0,0,0,1,0,0,2
2,7f717d5ff1c9,7f717d5ff1ce,0,338,0,0,0,0,0,1,0,0,2
1,7f718145fd74,7f718145ff00,0,338,0,0,0,0,0,1,0,0,2
7,7f718145ed7b,7f718155d5fb,0,1352,0,0,0,0,0,0,0,0,0
2,7f717d5ff03f,0,0,338,0,0,0,0,0,0,0,0,0
3,7f717d5ff83b,7f717d5ff0e0,0,338,0,0,0,0,0,1,0,0,2
2,7f717d5ff034,7f717d5ff0c0,0,676,0,0,0,0,0,1,0,0,2
3,7f717d5df029,7f717d16c6d0,0,1014,0,0,0,0,0,1,0,0,2
7,7f717d5f606a,7f717d345f6c,0,676,0,0,0,0,0,0,0,0,0
3,7f717d5df064,7f717d16c4b0,0,338,0,0,0,0,0,1,0,0,2
2,7f717d5df419,0,0,1014,0,0,0,0,0,0,0,0,0
1,7f717d5df41b,7f717d5deff0,0,1014,0,0,0,0,0,1,0,0,2
3,7f717d5df01a,7f717d5fc440,0,1014,0,0,0,0,0,1,0,0,2
2,7f717d5ff41a,0,0,338,0,0,0,0,0,0,0,0,0
2,7f717d5ff054,7f717d5ff0b0,0,338,0,0,0,0,0,1,0,0,2
2,7f717d5df057,7f717d5df062,0,338,0,0,0,0,0,1,0,0,2
2,7f718155f0ab,7f718155f4e0,0,338,0,0,0,0,0,1,0,0,2
7,7f717d5f6016,7f717d345f5e,0,338,0,0,0,0,0,0,0,0,0
2,7f717d5ffc11,7f717d6000d0,0,338,0,0,0,0,0,1,0,0,2
2,7f717d5df410,0,0,1014,0,0,0,0,0,0,0,0,0
2,7f717d5ff04d,0,0,338,0,0,0,0,0,0,0,0,0
1,7f717d5ff849,7f717d5ff953,0,338,0,0,0,0,0,1,0,0,2
7,7f717d5f6049,7f717d4a69c7,0,338,0,0,0,0,0,0,0,0,0
2,7f717d5df407,0,0,1014,0,0,0,0,0,0,0,0,0
2,7f717d5ffc01,0,0,338,0,0,0,0,0,1,0,0,2
2,7f717d5df042,7f717d5df069,0,1014,0,3,0,0,0,1,0,0,8
1,7f717d5ff0bc,7f717d5ff08c,0,338,0,0,0,0,0,1,0,0,2
3,7f7181557c09,7f7181557aa0,0,1352,0,0,0,0,0,1,0,0,2
2,7f7181557c14,0,0,1352,0,0,0,0,0,0,0,0,0
2,7f718145fc14,7f718145fc60,0,676,0,1,0,0,0,1,0,0,4
1,7f717d5ff8e5,7f717d5ff4fd,0,338,0,0,0,0,0,1,0,0,2
2,7f717d5ff0a4,0,0,338,0,0,0,0,0,0,0,0,0
3,7f7181557c1e,7f7181454080,0,1352,0,0,0,0,0,1,0,0,2
3,7f717d5ff098,7f717d16c110,0,338,0,0,0,0,0,1,0,0,2
2,7f717d5ff498,0,0,338,0,0,0,0,0,0,0,0,0
2,7f717d5ff8d0,0,0,338,0,0,0,0,0,0,0,0,0
1,7f717d5ff0ce,7f717d5fee50,0,338,0,0,0,0,0,1,0,0,2
