Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
517,810.151,1031839,835945397.689,676309,547912412.6589999
5297,898.498,1034482,929480008.036,711970,639703621.0600001
5168,967.77,1031436,998192817.72,681687,659716227.99
2807,979.819,1031077,1010268835.063,675991,662348825.629
2215,509.983,1032641,526629355.103,678493,346019895.619
1490,862.35,1033172,890955874.2,691693,596481458.5500001
3954,490.914,1031998,506622266.172,679589,333619754.346
2031,399.553,1033457,412920844.721,678826,271226964.778

weighted_avg,NA,NA,6111015398.703999,NA,4057029160.631
weighted_%,NA,NA,0.6010020277786494,NA,0.39899797222135047
weighted_total,10168044559.335
