Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
517,810.151,1475470,1195353495.97,13018,10546545.717999998
5297,898.498,1480347,1330088818.806,13687,12297742.126
5168,967.77,1479052,1431382154.04,12778,12366165.06
2807,979.819,1476186,1446395090.3339999,13152,12886579.488
2215,509.983,1477134,753313228.722,13295,6780223.985
1490,862.35,1481889,1277906979.15,13659,11778838.65
3954,490.914,1477692,725419690.488,13343,6550265.501999999
2031,399.553,1477427,590310390.131,13452,5374786.956

weighted_avg,NA,NA,8750169847.640999,NA,78581147.485
weighted_%,NA,NA,0.9910994038082643,NA,0.00890059619173556
weighted_total,8828750995.126
