Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
517,810.151,342697,277636317.247,140618,113921813.31799999
5297,898.498,339908,305406658.184,145623,130841974.25400001
5168,967.77,343051,331994466.27,140677,136142980.29
2807,979.819,343153,336227829.307,140709,137869351.671
2215,509.983,342748,174795653.284,142414,72628718.962
1490,862.35,342476,295334178.6,143978,124159428.3
3954,490.914,342969,168368283.666,141121,69278274.594
2031,399.553,342565,136872873.445,142386,56890753.458

weighted_avg,NA,NA,2026636260.0029995,NA,841733294.8469999
weighted_%,NA,NA,0.706546426898253,NA,0.293453573101747
weighted_total,2868369554.8499994
