Simpoints,Weight,FDIP_PREFETCH_HIT_ICACHE_val,FDIP_PREFETCH_HIT_ICACHE_w_val,FDIP_PREFETCH_HIT_MLC_val,FDIP_PREFETCH_HIT_MLC_w_val,FDIP_PREFETCH_HIT_L1_val,FDIP_PREFETCH_HIT_L1_w_val,FDIP_PREFETCH_HIT_DRAM_val,FDIP_PREFETCH_HIT_DRAM_w_val
517,810.151,1708148,1383857810.3479998,599511,485694436.16099995,188,152308.38799999998,0,0.0
5297,898.498,1746452,1569183629.0960002,604356,543012657.288,337,302793.826,144,129383.712
5168,967.77,1713123,1657909045.71,599573,580248762.21,460,445174.2,0,0.0
2807,979.819,1707068,1672617660.692,599533,587433824.527,565,553597.735,0,0.0
2215,509.983,1711134,872649250.722,601078,306539561.674,444,226432.452,0,0.0
1490,862.35,1724865,1487437332.75,603040,520031544.0,567,488952.45,148,127627.8
3954,490.914,1711587,840242020.518,599721,294411434.994,556,272948.184,0,0.0
2031,399.553,1712283,684147809.499,600679,240003096.487,522,208566.666,0,0.0

weighted_avg,NA,NA,10168044559.335001,NA,3557375317.3409996,NA,2650773.901,NA,257011.512
weighted_%,NA,NA,0.7406615583203351,NA,0.25912663252966706,NA,0.0001930878957908439,NA,1.872125420707589e-05
weighted_total,13728327662.088999
