Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
517,810.151,190819,154592203.669,6527,5287855.577,4226922,3424445085.2219996
5297,898.498,192784,173216038.432,6366,5719838.268,4227668,3798551242.664
5168,967.77,197112,190759080.24,5341,5168859.57,4222316,4086230755.3199997
2807,979.819,189865,186033334.435,5762,5645717.078,4228829,4143487001.9509997
2215,509.983,196542,100233078.786,5386,2746768.438,4222832,2153572531.856
1490,862.35,196175,169171511.25,5737,4947301.95,4225067,3643486527.4500003
3954,490.914,196296,96364454.544,5273,2588589.522,4223028,2073143567.592
2031,399.553,195644,78170147.132,5293,2114834.029,4223721,1687600396.713

weighted_avg,NA,NA,1148539848.4880002,NA,34219764.432000004,NA,25010517108.768
weighted_%,NA,NA,0.04384865096076393,NA,0.0013064331276913543,NA,0.9548449159115446
weighted_total,26193276721.688004
