Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
517,810.151,667093786,540446697821.686
5297,898.498,670105684,602088616862.6321
5168,967.77,669494929,647917107438.33
2807,979.819,668350605,654862621440.495
2215,509.983,668653631,341001984698.273
1490,862.35,670132645,577888886415.75
3954,490.914,670274995,329047378895.43
2031,399.553,670718369,267987536489.057

weighted_avg,NA,NA,3961240830061.6533
weighted_%,NA,NA,1.0
weighted_total,3961240830061.6533
