Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
517,810.151,0,0.0,20461,16576499.611
5297,898.498,0,0.0,21455,19277274.59
5168,967.77,0,0.0,20896,20222521.919999998
2807,979.819,0,0.0,20970,20546804.43
2215,509.983,0,0.0,20794,10604586.502
1490,862.35,0,0.0,21281,18351670.35
3954,490.914,0,0.0,20584,10104973.776
2031,399.553,0,0.0,20360,8134899.08

weighted_avg,NA,NA,0.0,NA,123819230.25899999
weighted_%,NA,NA,0.0,NA,1.0
weighted_total,123819230.25899999
