Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
517,810.151,19,15392.868999999999,21573,17477387.523
5297,898.498,19,17071.462,21231,19076011.038000003
5168,967.77,16,15484.32,20905,20231231.849999998
2807,979.819,4,3919.276,20428,20015742.531999998
2215,509.983,23,11729.609,20892,10654564.836
1490,862.35,6,5174.1,19447,16770120.450000001
3954,490.914,12,5890.968,20233,9932662.962
2031,399.553,9,3595.977,19270,7699386.31

weighted_avg,NA,NA,78258.58099999999,NA,121857107.50099999
weighted_%,NA,NA,0.0006418037974919605,NA,0.999358196202508
weighted_total,121935366.08199999
