Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
517,810.151,190604,154418021.204,6989,5662145.339,4226675,3424244977.9249997
5297,898.498,192757,173191778.986,6795,6105293.91,4227267,3798190944.966
5168,967.77,197534,191167479.18,5502,5324670.54,4221731,4085664609.87
2807,979.819,190366,186524223.75399998,6166,6041563.954,4227924,4142600265.756
2215,509.983,197321,100630355.543,5483,2796236.789,4221956,2153125786.748
1490,862.35,196821,169728589.35,5901,5088727.350000001,4224253,3642784574.55
3954,490.914,197290,96852423.06,5697,2796737.0579999997,4221603,2072444015.142
2031,399.553,195944,78290013.032,5684,2271059.252,4223030,1687324305.59

weighted_avg,NA,NA,1150802884.109,NA,36086434.192,NA,25006379480.546997
weighted_%,NA,NA,0.04393506182625108,NA,0.0013776987694482453,NA,0.9546872394043008
weighted_total,26193268798.847996
