Simpoints,Weight,FDIP_PREFETCH_HIT_ICACHE_val,FDIP_PREFETCH_HIT_ICACHE_w_val,FDIP_PREFETCH_HIT_MLC_val,FDIP_PREFETCH_HIT_MLC_w_val,FDIP_PREFETCH_HIT_L1_val,FDIP_PREFETCH_HIT_L1_w_val,FDIP_PREFETCH_HIT_DRAM_val,FDIP_PREFETCH_HIT_DRAM_w_val
517,810.151,1426998,1156083856.698,506781,410569133.931,90,72913.59,0,0.0
5297,898.498,1447681,1300738483.138,508463,456852988.574,131,117703.23800000001,152,136571.696
5168,967.77,1432153,1385994708.81,506326,490007113.02,229,221619.33,3,2903.31
2807,979.819,1424077,1395337702.063,508589,498325165.391,265,259652.035,0,0.0
2215,509.983,1428310,728413818.73,506952,258536901.816,227,115766.141,0,0.0
1490,862.35,1439570,1241413189.5,506821,437057089.35,213,183680.55000000002,153,131939.55000000002
3954,490.914,1430778,702388951.092,505171,247995516.294,209,102601.026,0,0.0
2031,399.553,1429331,571093489.043,507288,202688442.264,243,97091.379,0,0.0

weighted_avg,NA,NA,8481464199.073999,NA,3002032350.6400003,NA,1171027.289,NA,271414.556
weighted_%,NA,NA,0.7384857860636054,NA,0.2613886197259195,NA,0.00010196199473594603,NA,2.3632215739193698e-05
weighted_total,11484938991.559
