Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
517,810.151,371378,300872258.078,31305,25361777.055
5297,898.498,371624,333903420.75200003,32980,29632464.040000003
5168,967.77,372183,360187541.90999997,33423,32345776.71
2807,979.819,372737,365214794.603,32370,31716741.029999997
2215,509.983,371813,189618309.179,33307,16986003.781
1490,862.35,370980,319914603.0,34550,29794192.5
3954,490.914,370660,181962183.24,31879,15649847.406
2031,399.553,372651,148893825.003,32008,12788892.424

weighted_avg,NA,NA,2200566935.765,NA,194275694.94599998
weighted_%,NA,NA,0.918877469252198,NA,0.08112253074780194
weighted_total,2394842630.711
