Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
517,810.151,190906,154662686.806,6372,5162282.171999999,4226990,3424500175.49
5297,898.498,192922,173340031.15600002,6159,5533849.182,4227737,3798613239.026
5168,967.77,197262,190904245.74,4967,4806913.59,4222540,4086447535.7999997
2807,979.819,189943,186109760.317,5435,5325316.265,4229078,4143730976.882
2215,509.983,196727,100327425.641,4994,2546855.102,4223039,2153678098.337
1490,862.35,196342,169315523.70000002,5396,4653240.600000001,4225241,3643636576.35
3954,490.914,196465,96447419.00999999,4914,2412351.3959999997,4223218,2073236841.2519999
2031,399.553,195799,78232077.847,4878,1949019.534,4223981,1687704280.493

weighted_avg,NA,NA,1149339170.217,NA,32389827.841,NA,25011547723.629997
weighted_%,NA,NA,0.04387916725460121,NA,0.0012365702918788037,NA,0.9548842624535201
weighted_total,26193276721.687996
