Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_NO_PREF_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NO_PREF_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_UNUSEFUL_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_UNUSEFUL_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_USEFUL_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_USEFUL_DURING_WARMUP_w_val
517,810.151,0,0.0,0,0.0,0,0.0
5297,898.498,9,8086.482,0,0.0,3,2695.494
5168,967.77,0,0.0,0,0.0,0,0.0
2807,979.819,0,0.0,0,0.0,0,0.0
2215,509.983,0,0.0,0,0.0,0,0.0
1490,862.35,9,7761.150000000001,0,0.0,3,2587.05
3954,490.914,0,0.0,0,0.0,0,0.0
2031,399.553,0,0.0,0,0.0,0,0.0

weighted_avg,NA,NA,15847.632000000001,NA,0.0,NA,5282.544
weighted_%,NA,NA,0.7500000000000001,NA,0.0,NA,0.25
weighted_total,21130.176
