Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
517,810.151,14936,12100415.336,37,29975.587
5297,898.498,15774,14172907.452000001,47,42229.406
5168,967.77,15009,14525259.93,34,32904.18
2807,979.819,14987,14684547.353,48,47031.312
2215,509.983,15126,7714002.858,20,10199.66
1490,862.35,15353,13239659.55,37,31906.95
3954,490.914,15066,7396110.324,23,11291.021999999999
2031,399.553,15190,6069210.07,12,4794.636

weighted_avg,NA,NA,89902112.873,NA,210332.75300000003
weighted_%,NA,NA,0.997665885643888,NA,0.0023341143561119047
weighted_total,90112445.626
