Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
517,810.151,136,110180.536,28715,23263485.965
5297,898.498,131,117703.23800000001,29596,26591946.808000002
5168,967.77,77,74518.29,29215,28273400.55
2807,979.819,138,135215.022,29156,28567602.764
2215,509.983,74,37738.742,29173,14877734.059
1490,862.35,90,77611.5,29561,25491928.35
3954,490.914,66,32400.324,28866,14170723.524
2031,399.553,66,26370.498,28586,11421622.058

weighted_avg,NA,NA,611738.15,NA,172658444.07799998
weighted_%,NA,NA,0.0035305448527493083,NA,0.9964694551472506
weighted_total,173270182.228
