Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_val,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_w_val
517,810.151,0,0.0,0,0.0,0,0.0,50340,40783001.339999996,743870,602647024.37
5297,898.498,725,651411.05,0,0.0,0,0.0,48435,43518750.63,802405,720959287.69
5168,967.77,0,0.0,0,0.0,0,0.0,50995,49351431.15,760625,736110056.25
2807,979.819,0,0.0,0,0.0,0,0.0,50925,49897282.574999996,762785,747391235.915
2215,509.983,0,0.0,0,0.0,0,0.0,50375,25690393.625,767005,391159510.915
1490,862.35,3780,3259683.0,0,0.0,0,0.0,47630,41073730.5,788385,679863804.75
3954,490.914,0,0.0,0,0.0,0,0.0,49560,24329697.84,767140,376599765.96
2031,399.553,0,0.0,0,0.0,0,0.0,52310,20900617.43,772055,308476891.415

weighted_avg,NA,NA,3911094.05,NA,0.0,NA,0.0,NA,295544905.09,NA,4563207577.265
weighted_%,NA,NA,0.0008043110506303003,NA,0.0,NA,0.0,NA,0.060778398597029465,NA,0.9384172903523401
weighted_total,4862663576.405001
