Core, 0
Cumulative Cycles, 7445270             
Cumulative Instructions, 20112261            
Cumulative IPC, 2.70135
Periodic Cycles, 3538577             
Periodic Instructions, 10057333            
Periodic IPC, 2.84220

BTB_ON_PATH_MISS_count,        492667
BTB_ON_PATH_MISS_pct,       24.775
BTB_ON_PATH_MISS_total_count,        991141
BTB_ON_PATH_MISS_total_pct,       24.936

BTB_ON_PATH_HIT_count,       1495925
BTB_ON_PATH_HIT_pct,       75.225
BTB_ON_PATH_HIT_total_count,       2983611
BTB_ON_PATH_HIT_total_pct,       75.064
BTB_ON_PATH_HIT_sum_count,       1988592
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,       3974752
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         0.75
BTB_ON_PATH_HIT_stddev,         0.69
BTB_ON_PATH_HIT_total_mean,         0.75
BTB_ON_PATH_HIT_total_stddev,         0.69

BTB_OFF_PATH_MISS_count,         85012
BTB_OFF_PATH_MISS_pct,       30.037
BTB_OFF_PATH_MISS_total_count,        193215
BTB_OFF_PATH_MISS_total_pct,       30.147

BTB_OFF_PATH_HIT_count,        198015
BTB_OFF_PATH_HIT_pct,       69.963
BTB_OFF_PATH_HIT_total_count,        447697
BTB_OFF_PATH_HIT_total_pct,       69.853
BTB_OFF_PATH_HIT_sum_count,        283027
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,        640912
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.70
BTB_OFF_PATH_HIT_stddev,         0.64
BTB_OFF_PATH_HIT_total_mean,         0.70
BTB_OFF_PATH_HIT_total_stddev,         0.64

BTB_ON_PATH_WRITE_count,        134481
BTB_ON_PATH_WRITE_pct,       99.997
BTB_ON_PATH_WRITE_total_count,        271601
BTB_ON_PATH_WRITE_total_pct,       99.957

BTB_OFF_PATH_WRITE_count,             4
BTB_OFF_PATH_WRITE_pct,        0.003
BTB_OFF_PATH_WRITE_total_count,           118
BTB_OFF_PATH_WRITE_total_pct,        0.043
BTB_OFF_PATH_WRITE_sum_count,        134485
BTB_OFF_PATH_WRITE_sum_pct,      100.000
BTB_OFF_PATH_WRITE_sum_total_count,        271719
BTB_OFF_PATH_WRITE_sum_total_pct,      100.000
BTB_OFF_PATH_WRITE_mean,         0.00
BTB_OFF_PATH_WRITE_stddev,         0.01
BTB_OFF_PATH_WRITE_total_mean,         0.00
BTB_OFF_PATH_WRITE_total_stddev,         0.02

BP_ON_PATH_CORRECT_count,       1982946
BP_ON_PATH_CORRECT_pct,       99.716
BP_ON_PATH_CORRECT_total_count,       3960079
BP_ON_PATH_CORRECT_total_pct,       99.631

BP_ON_PATH_MISPREDICT_count,          4496
BP_ON_PATH_MISPREDICT_pct,        0.226
BP_ON_PATH_MISPREDICT_total_count,         12277
BP_ON_PATH_MISPREDICT_total_pct,        0.309

BP_ON_PATH_MISFETCH_count,          1150
BP_ON_PATH_MISFETCH_pct,        0.058
BP_ON_PATH_MISFETCH_total_count,          2396
BP_ON_PATH_MISFETCH_total_pct,        0.060
BP_ON_PATH_MISFETCH_sum_count,       1988592
BP_ON_PATH_MISFETCH_sum_pct,      100.000
BP_ON_PATH_MISFETCH_sum_total_count,       3974752
BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
BP_ON_PATH_MISFETCH_mean,         0.00
BP_ON_PATH_MISFETCH_stddev,         0.07
BP_ON_PATH_MISFETCH_total_mean,         0.00
BP_ON_PATH_MISFETCH_total_stddev,         0.07

BP_OFF_PATH_CORRECT_count,        282155
BP_OFF_PATH_CORRECT_pct,       99.692
BP_OFF_PATH_CORRECT_total_count,        638544
BP_OFF_PATH_CORRECT_total_pct,       99.631

BP_OFF_PATH_MISPREDICT_count,           522
BP_OFF_PATH_MISPREDICT_pct,        0.184
BP_OFF_PATH_MISPREDICT_total_count,          1449
BP_OFF_PATH_MISPREDICT_total_pct,        0.226

BP_OFF_PATH_MISFETCH_count,           350
BP_OFF_PATH_MISFETCH_pct,        0.124
BP_OFF_PATH_MISFETCH_total_count,           919
BP_OFF_PATH_MISFETCH_total_pct,        0.143
BP_OFF_PATH_MISFETCH_sum_count,        283027
BP_OFF_PATH_MISFETCH_sum_pct,      100.000
BP_OFF_PATH_MISFETCH_sum_total_count,        640912
BP_OFF_PATH_MISFETCH_sum_total_pct,      100.000
BP_OFF_PATH_MISFETCH_mean,         0.00
BP_OFF_PATH_MISFETCH_stddev,         0.08
BP_OFF_PATH_MISFETCH_total_mean,         0.01
BP_OFF_PATH_MISFETCH_total_stddev,         0.09

LATE_BP_ON_PATH_CORRECT_count,       1988592
LATE_BP_ON_PATH_CORRECT_pct,      100.000
LATE_BP_ON_PATH_CORRECT_total_count,       3974752
LATE_BP_ON_PATH_CORRECT_total_pct,      100.000

LATE_BP_ON_PATH_MISPREDICT_count,             0
LATE_BP_ON_PATH_MISPREDICT_pct,        0.000
LATE_BP_ON_PATH_MISPREDICT_total_count,             0
LATE_BP_ON_PATH_MISPREDICT_total_pct,        0.000

LATE_BP_ON_PATH_MISFETCH_count,             0
LATE_BP_ON_PATH_MISFETCH_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_total_count,             0
LATE_BP_ON_PATH_MISFETCH_total_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_sum_count,       1988592
LATE_BP_ON_PATH_MISFETCH_sum_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_sum_total_count,       3974752
LATE_BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_mean,         0.00
LATE_BP_ON_PATH_MISFETCH_stddev,         0.00
LATE_BP_ON_PATH_MISFETCH_total_mean,         0.00
LATE_BP_ON_PATH_MISFETCH_total_stddev,         0.00

LATE_BP_OFF_PATH_CORRECT_count,        283027
LATE_BP_OFF_PATH_CORRECT_pct,      100.000
LATE_BP_OFF_PATH_CORRECT_total_count,        640912
