Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
517,810.151,588448795,476732379718.045
5297,898.498,607158855,545531016899.79004
5168,967.77,585580129,566706881442.33
2807,979.819,585002996,573197050537.724
2215,509.983,598041466,304990980955.078
1490,862.35,615599781,530862471145.35004
3954,490.914,590768850,290016699228.89996
2031,399.553,601759236,240434708021.508

weighted_avg,NA,NA,3528472187948.725
weighted_%,NA,NA,1.0
weighted_total,3528472187948.725
