Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_val,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_w_val
517,810.151,0,0.0,0,0.0,0,0.0,37825,30643961.575,775475,628251846.7249999
5297,898.498,2250,2021620.5,0,0.0,0,0.0,34840,31303670.32,829470,745277136.0600001
5168,967.77,0,0.0,0,0.0,0,0.0,44875,43428678.75,794280,768680355.6
2807,979.819,65,63688.235,0,0.0,0,0.0,46035,45105967.665,794990,778946306.81
2215,509.983,130,66297.79,0,0.0,0,0.0,43620,22245458.46,800290,408134295.07
1490,862.35,3910,3371788.5,0,0.0,0,0.0,39600,34149060.0,823155,709847714.25
3954,490.914,0,0.0,0,0.0,0,0.0,44235,21715580.79,799750,392608471.5
2031,399.553,0,0.0,0,0.0,0,0.0,47240,18874883.72,807370,322587105.61

weighted_avg,NA,NA,5523395.025,NA,0.0,NA,0.0,NA,247467261.28,NA,4754333231.624999
weighted_%,NA,NA,0.0011030632626569203,NA,0.0,NA,0.0,NA,0.049421061392995215,NA,0.9494758753443479
weighted_total,5007323887.929999
